id,audio_path,transcript,scenario,speaker_role
1,data/Delivery_delay.m4a,হ্যালো স্যার আমি কীভাবে help করতে পারি?,delivery_delay,agent
2,data/Delivery_delay.m4a,আপু আমার order টা কই? ৫ দিন হয়ে গেছে কোনো update নাই,delivery_delay,customer
3,data/Delivery_delay.m4a,সরি স্যার একটু order ID টা দেন আমি check করি,delivery_delay,agent
4,data/Delivery_delay.m4a,ID হলো BD২০৪৫৬৭ — এখন কই আছে বলেন,delivery_delay,customer
5,data/Delivery_delay.m4a,জি স্যার দেখতেছি… actually courier এ একটু delay হইছে,delivery_delay,agent
6,data/Delivery_delay.m4a,আচ্ছা এইটা কি সব সময়ের problem? last time ও same হইছিল,delivery_delay,customer
7,data/Delivery_delay.m4a,বুঝতে পারছি স্যার খুব frustrating — আজকেই escalate করে দিতেছি,delivery_delay,agent
8,data/Delivery_delay.m4a,please fast করেন ভাই seriously দরকার ছিল,delivery_delay,customer
9,data/Delivery_delay.m4a,জি স্যার আজকের মধ্যে একটা update দেওয়ার চেষ্টা করবো,delivery_delay,agent
10,data/Delivery_delay.m4a,okay ঠিক আছে wait করতেছি কিন্তু আর দেরি করলে cancel করবো,delivery_delay,customer
63,data/Delivery_delay_2.m4a,আমার parcel টার  tracking update নাই aaa ৩ দিন ধরে — এইটা normal?,delivery_delay,customer
64,data/Delivery_delay_2.m4a,না স্যার normally এতক্ষণ লাগার কথা না — আমি এখনই check করতেছি,delivery_delay,agent
65,data/Delivery_delay_2.m4a,please quick চেক করেন কারণ gift ছিল এইটা occasion এর জন্য,delivery_delay,customer
66,data/Delivery_delay_2.m4a,অবশ্যই স্যার আমি urgent mark করে দিচ্ছি — courier partner কে contact করতেছি,delivery_delay,agent
67,data/Delivery_delay_2.m4a,thank you  আশা করি কাল এর মধ্যে পাবো,delivery_delay,customer
68,data/Delivery_delay_2.m4a,সর্বোচ্চ চেষ্টা করবো স্যার আপনাকে update দেবো,delivery_delay,agent
41,data/Payment_Issue.m4a,payment হয়ে গেছে কিন্তু order confirm দেখাচ্ছে না,payment_issue,customer
42,data/Payment_Issue.m4a,সরি স্যার এইটা মাঝে মাঝে হয় — transaction ID টা আছে?,payment_issue,agent
43,data/Payment_Issue.m4a,হ্যাঁ আছে TXN৮৮৭৭৬৬ — এইটা দিয়ে কী করবেন?,payment_issue,customer
44,data/Payment_Issue.m4a,এইটা দিয়ে আমরা verify করতে পারবো payment টা received হইছে কিনা,payment_issue,agent
45,data/Payment_Issue.m4a,okay আর কতক্ষণ লাগবে actually আমি ঘণ্টাখানেক ধরে wait করতেছি,payment_issue,customer
46,data/Payment_Issue.m4a,বুঝতে পারছি স্যার — ৩০ মিনিটের মধ্যে manually confirm করে দিবো,payment_issue,agent
47,data/Payment_Issue.m4a,ঠিক আছে কিন্তু যদি না হয় তাহলে refund চাই,payment_issue,customer
48,data/Payment_Issue.m4a,অবশ্যই স্যার সেটাও possible — কোনো tension নেই,payment_issue,agent
49,data/Payment_Issue.m4a,আচ্ছা notification আসলে আমি দেখবো,payment_issue,customer
50,data/Payment_Issue.m4a,জি স্যার SMS আর email দুইটাতেই যাবে,payment_issue,agent
85,data/Payment_issue_2.m4a,double charge হয়ে গেছে একই order এ দুইবার কেটেছে,payment_issue,customer
86,data/Payment_issue_2.m4a,এইটা শুনে সত্যিই sorry স্যার — কোন payment method ছিল?,payment_issue,agent
87,data/Payment_issue_2.m4a,bKash এ করছিলাম — দুইটাই deduct হইছে statement এ দেখতেছি,payment_issue,customer
88,data/Payment_issue_2.m4a,স্যার screenshot টা আমাদের chat এ দিতে পারবেন? verify করি,payment_issue,agent
89,data/Payment_issue_2.m4a,হ্যাঁ দিচ্ছি — extra টা কিন্তু অবশ্যই ফেরত দিতে হবে,payment_issue,customer
90,data/Payment_issue_2.m4a,অবশ্যই স্যার verified হলেই ৪৮ ঘণ্টার মধ্যে refund হয়ে যাবে,payment_issue,agent
51,data/Product_inquiry.m4a,এই product টার কি warranty আছে?,product_inquiry,customer
52,data/Product_inquiry.m4a,হ্যাঁ স্যার ১ বছরের official warranty আছে,product_inquiry,agent
53,data/Product_inquiry.m4a,warranty claim করতে হলে কী করতে হবে actually জানি না process টা,product_inquiry,customer
54,data/Product_inquiry.m4a,সমস্যা নাই স্যার — আমাদের app এ গিয়ে warranty section এ claim দিতে পারবেন,product_inquiry,agent
55,data/Product_inquiry.m4a,app এ? আমার তো app নাই — website এ হবে না?,product_inquiry,customer
56,data/Product_inquiry.m4a,হ্যাঁ website এও হবে স্যার — account এ login করে My Orders এ যান,product_inquiry,agent
57,data/Product_inquiry.m4a,হ্যাঁ ওহ okay বুঝছি — আর delivery charge কত এই item এর জন্য?,product_inquiry,customer
58,data/Product_inquiry.m4a,আপনার area যদি Dhaka হয় তাহলে ৬০ টাকা outside হলে ১২০,product_inquiry,agent
59,data/Product_inquiry.m4a,আমি Mirpur এ আছি — so ৬০ টাকাই তো?,product_inquiry,customer
60,data/Product_inquiry.m4a,জি স্যার exactly — Dhaka city এর মধ্যে flat 60 টাকা,product_inquiry,agent
61,data/Product_inquiry.m4a,okay  order দিয়ে দিচ্ছি তাহলে,product_inquiry,customer
62,data/Product_inquiry.m4a,অবশ্যই স্যার কোনো problem হলে আবার call দেন,product_inquiry,agent
91,data/Product_inquiry_2.m4a,এই laptop bag টা কি ১৫ inch laptop fit করবে?,product_inquiry,customer
92,data/Product_inquiry_2.m4a,হ্যাঁ স্যার up to 15.6 inch পর্যন্ত fit করবে description এ আছে,product_inquiry,agent
93,data/Product_inquiry_2.m4a,okay আর material টা কী? waterproof কিনা জানতে চাইছিলাম,product_inquiry,customer
94,data/Product_inquiry_2.m4a,water resistant স্যার fully waterproof না — হালকা বৃষ্টিতে okay থাকবে,product_inquiry,agent
95,data/Product_inquiry_2.m4a,hmm আচ্ছা — কোনো discount আছে এখন?,product_inquiry,customer
96,data/Product_inquiry_2.m4a,এই মুহূর্তে ১০% off চলছে স্যার — app থেকে order দিলে extra ৫% পাবেন,product_inquiry,agent
97,data/Product_inquiry_2.m4a,তাহলে app থেকেই দিবো — code লাগবে নাকি automatic?,product_inquiry,customer
98,data/Product_inquiry_2.m4a,automatic স্যার cart এ গেলেই apply হয়ে যাবে,product_inquiry,agent
73,data/Refund_Request_2.m4a,refund এর status কী? ১০ দিন হয়ে গেছে কিছু আসে নাই,refund_request,customer
74,data/Refund_Request_2.m4a,সরি স্যার এত দেরি হওয়া উচিত না — ticket number টা আছে আপনার কাছে?,refund_request,agent
75,data/Refund_Request_2.m4a,হ্যাঁ TKT৯৯১২৩ — এইটা দিয়ে track করেন,refund_request,customer
76,data/Refund_Request_2.m4a,দেখতেছি স্যার… actually bank processing এ একটু stuck আছে,refund_request,agent
77,data/Refund_Request_2.m4a,এইটা তো আমার problem না  — আমি কবে পাবো clearly বলেন,refund_request,customer
78,data/Refund_Request_2.m4a,আমি আজকেই finance team কে inform করতেছি ২৪ ঘণ্টার মধ্যে update দেবো,refund_request,agent
31,data/Wrong_Item.m4a,umm আপু আমি একটা phone case order করছিলাম কিন্তু আইছে earphone,wrong_item,customer
32,data/Wrong_Item.m4a,এইটা clearly আমাদের packing mistake স্যার — sorry for the trouble,wrong_item,agent
33,data/Wrong_Item.m4a,এখন কী করবো? return করতে হবে?,wrong_item,customer
34,data/Wrong_Item.m4a,হ্যাঁ স্যার আমরা pickup arrange করবো আপনাকে কিছু করতে হবে না,wrong_item,agent
35,data/Wrong_Item.m4a,okay কিন্তু correct item টা কবে পাবো?,wrong_item,customer
36,data/Wrong_Item.m4a,pickup এর পর ২ থেকে ৩ দিনের মধ্যে replacement পাঠিয়ে দেবে।,wrong_item,agent
37,data/Wrong_Item.m4a,আচ্ছা ঠিক আছে — umm pickup কবে আসবে?,wrong_item,customer
38,data/Wrong_Item.m4a,আগামীকাল সকাল ১০টা থেকে ১২টার মধ্যে স্যার available থাকবেন?,wrong_item,agent
39,data/Wrong_Item.m4a,হ্যাঁ থাকবো — ঠিক আছে wait করবো,wrong_item,customer
40,data/Wrong_Item.m4a,perfect স্যার আমি এখনই schedule করে দিচ্ছি,wrong_item,agent
79,data/Wrong_item_2.m4a,আচ্ছা  wrong item পাঠাইছেন — এইটা কি আপনাদের warehouse এর mistake?,wrong_item,customer
80,data/Wrong_item_2.m4a,হ্যাঁ স্যার এইটা আমাদের end থেকেই হইছে — really sorry,wrong_item,agent
81,data/Wrong_item_2.m4a,okay apology accept করলাম কিন্তু solution চাই fast,wrong_item,customer
82,data/Wrong_item_2.m4a,absolutely স্যার আপনি কি exchange চান নাকি full refund?,wrong_item,agent
83,data/Wrong_item_2.m4a,exchange দেন — same product correct color এ পাঠান,wrong_item,customer
84,data/Wrong_item_2.m4a,noted স্যার আজকেই dispatch করার try করবো,wrong_item,agent
